{'CPF': '47155806439', 'nome': 'Caroline Pereira', 'senha': 'K8D929jg', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 13, 81778, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '30050693451', 'nome': 'Maria Eduarda Carvalho', 'senha': 'ks3KTbyt', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 13, 675812, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '68934333462', 'nome': 'Julia Oliveira', 'senha': 'U5SHHuxl', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 14, 255845, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '43378339838', 'nome': 'Pietro Moreira', 'senha': '4X9EPIRi', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 14, 861880, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '48423421359', 'nome': 'Ian Cardoso', 'senha': '3qG2rOq4', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 15, 483915, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '83176772778', 'nome': 'Vitória Ribeiro', 'senha': '9JneX9w8', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 16, 75949, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '64136275558', 'nome': 'Ana Azevedo', 'senha': '9X3JJnsB', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 16, 661983, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '55298879938', 'nome': 'Dr. Henrique Nunes', 'senha': 'hK9Xexep', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 17, 253016, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '99439155457', 'nome': 'Sophie Duarte', 'senha': '9NLQOuuU', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 17, 858051, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '86544903656', 'nome': 'Dr. André Dias', 'senha': '2YNlwmrr', 'created_on': datetime.datetime(2021, 6, 23, 14, 44, 16, 426446, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
{'CPF': '79291551029', 'nome': 'Dr. Davi Fernandes', 'senha': '9V2XoCSu', 'created_on': datetime.datetime(2021, 6, 23, 14, 44, 16, 996479, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ENFERMEIRO_CHEFE'}
