{'CPF': '63117890645', 'nome': 'Marcos Vinicius Nogueira', 'senha': 'n2Otaont', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 7, 119437, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '07890595546', 'nome': 'Dr. Enzo Gabriel Araújo', 'senha': 'Z0aLQ8Rk', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 7, 717471, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '84139282503', 'nome': 'Raul Silva', 'senha': 'H2hiG6dY', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 8, 307505, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '11180555831', 'nome': 'João Pedro Pires', 'senha': '7KTfVs9u', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 8, 907539, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '07545000727', 'nome': 'Ana Lívia Alves', 'senha': 'Q2lPOPkv', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 9, 549576, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '17173081337', 'nome': 'Caio Oliveira', 'senha': 'r7VtBydd', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 10, 131609, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '28371582594', 'nome': 'Helena Almeida', 'senha': 'YS2x1oCk', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 10, 710642, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '73781847791', 'nome': 'Sr. Thiago Gonçalves', 'senha': '4CRPoVDz', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 11, 291675, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '48164674966', 'nome': 'Natália Nogueira', 'senha': 'y59UvV48', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 11, 875709, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '93216529493', 'nome': 'Davi Lucca Lima', 'senha': '9EKDvp61', 'created_on': datetime.datetime(2021, 6, 23, 14, 29, 12, 475743, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
{'CPF': '30039477424', 'nome': 'Sofia Cardoso', 'senha': 'ouz5GANa', 'created_on': datetime.datetime(2021, 6, 23, 14, 44, 10, 264094, tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=-180, name=None)), 'updated_on': None, 'tipo': 'ESTAGIARIO'}
